Date,BMY,CL,CVX,DUK,ED,EPD,GIS,GLD,GPC,IWP,IWY,JNJ,KMB,KO,LMT,MCD,O,PEP,PG,PSA,QQQ,QUAL,RPG,SCHG,SCHM,VBK,VGT,VUG,VZ,WEC,XOM
2010-08-23,25694968290.65323,23363763598.04535,75138980963.8977,18012009826.44272,7557658961.349487,13764339249.134064,12253281159.637451,,4058425523.576737,,,102957961527.25218,13073188531.791687,74634291773.60535,13706014156.284332,43998161215.667725,3661260205.0781255,58883101169.01398,103480978904.49524,9383590259.44519,,,,,,,,,53547240467.69142,5236650883.712769,136644633869.24744
2010-08-24,25248599018.592834,23348301903.259277,73867442334.8999,18170384098.636627,7610746214.4470215,13678851906.180382,12287884701.11084,,4046072624.113083,,,101453889657.89795,13024888384.872437,74714844908.31375,13473421156.597137,43626216136.70349,3672703125.0,58846738827.89612,102843106613.27362,9292687058.45642,,,,,,,,,53656488596.56334,5250754929.611206,135358579132.30896
2010-08-25,25306825040.483475,23289522486.22513,74157813687.28638,18117595300.35782,7631657663.208008,13697432202.339172,12197917089.279175,,4058425523.576737,,,101401431116.79077,12976586853.240967,74352376539.72626,13552840240.192413,43908182073.516846,3721918011.474609,58655985198.59314,102860386234.58862,9473526433.21228,,,,,,,,,54002424189.69154,5252635950.759888,135289690148.6969
2010-08-26,25083651541.490555,22890438660.003666,73416934179.07715,18033126396.068573,7585007024.94812,13805226995.110512,12184075216.690065,,4028969273.065567,,,101086605984.87854,12898101364.654541,74043601965.90424,13528263110.94284,43890174335.67047,3705894781.494141,58256277318.38226,102636311577.64435,9382625874.374388,,,,,,,,,53711104900.24567,5208448210.990906,134302122580.03235
2010-08-27,25345642388.41057,22970872661.304474,75018840669.40308,18328747867.687225,7702442531.402588,13898165776.133537,12457447070.327759,,4079330098.564148,,,101686839356.53685,12972561494.819641,75386013195.36209,13666305786.72409,44388124540.78674,3741375878.90625,58247202016.0675,103084492025.98572,9470631956.924438,,,,,,,,,54330153054.80004,5313744451.194763,137333650748.21472
2010-08-30,25083651541.490555,22850210539.52408,73867442334.8999,18107029138.18741,7601095765.945435,13745753214.478493,12339792293.319702,,4011863621.5572357,,,101157229747.16185,12912190811.48529,74567151718.78815,13395418135.77652,43965025016.47949,3705049273.6816406,57774819470.59631,102343232595.1004,9414535791.07666,,,,,,,,,53601883934.01146,5231950739.318848,135496325338.82141
2010-08-31,25306825040.483475,22844021071.52939,74167814609.375,18138703992.62619,7646135852.447509,13742038494.229317,12512815700.683594,,3984306689.006806,,,100662916186.37085,12960492343.11676,75010140041.92352,13261883885.02121,44158440941.085815,3746433691.40625,58301703846.93146,102860386234.58862,9479335201.919556,,,,,,,,,53765728964.681625,5240410517.532349,135748965919.7998
2010-09-01,25627041909.29413,23178144566.436768,76861013389.89258,18413219397.7623,7760353610.702515,13961348538.517952,12478214439.208984,,4113535650.428772,,,102905006899.33777,13159727506.645203,76929653803.34854,13340101425.28534,45052960694.54194,3846444268.798828,59390867945.86182,103084492025.98572,9731744499.145508,,,,,,,,,55094858913.88893,5356991680.389404,139882733706.13098
2010-09-02,25646447401.247025,23150300514.175415,77541844289.09302,18244293405.220028,7761962484.802246,14150917866.826057,12516272178.833008,,4156296616.065979,,,103469902002.2583,13260349004.768372,77023653198.10867,13414493954.925537,45343070570.373535,3883233618.1640625,59464065010.643005,103549962473.79303,9911621470.443726,,,,,,,,,54821761873.97004,5359812007.873535,140227258025.97046
2010-09-03,25792016433.486935,23156496825.141907,78092454998.16895,18318196147.338867,7792528855.819702,14292167139.410973,12478214439.208984,,4175301585.5350494,,,104034828770.29419,13318713240.097046,77265246241.91284,13490801920.471191,45385401539.42108,3883233618.1640625,60013223613.357544,103929138596.53474,10020898188.64441,,,,,,,,,54985614665.39382,5394598254.615784,140824407046.4325
2010-09-07,25821119102.897644,23128656194.366455,77141376640.77759,18307629985.168457,7779658422.241211,14173217665.314674,12440145299.591064,,4060326279.325485,,,103628765886.00159,13352926709.609985,77359237341.63284,13275242702.388763,45814522324.44763,3797013720.703125,59930862327.19421,103670618856.62079,9929993666.5802,,,,,,,,,55022032001.810074,5362631131.118774,139055954740.2954
2010-09-08,25956962319.583897,23076044005.66864,77341596106.10962,18360425347.911835,7686355468.063355,14043122117.638588,12575100707.336426,,4052651079.3724055,,,103893634020.9198,13432198714.736938,77627689725.37994,13135976210.765839,45983755128.63159,3813107885.7421875,59885091237.25892,104067084978.82843,9902912941.14685,,,,,,,,,55459001235.03685,5325024556.892395,139515309913.1775
2010-09-09,26073398453.31192,23066776911.10611,77451706760.86426,18518790429.855347,7713699617.126465,14154635456.323624,12682376929.901123,,4089108494.817734,,,105606072904.35791,13440333899.024963,78245155922.62268,13233269570.178986,44950213957.67212,3785517242.4316406,60498304913.139336,103929138596.53474,9794605892.318726,,,,,,,,,56150872421.29326,5365453264.961243,140204326792.14478
2010-09-10,26248082883.005142,23258585410.70938,78913456753.69263,18508236083.72116,7671876160.385132,14106313487.768173,12869236509.85718,,4092944800.7850647,,,105888483513.1836,13468791119.84253,78553905611.32431,13425939680.862427,45337052812.423706,3801610931.396485,60782051214.59961,104118768170.50934,9879705608.901978,,,,,,,,,56114478367.13791,5372033226.264954,140548724069.13757
2010-09-13,26354805929.222107,23218362422.45865,79343948706.51245,18645489847.610474,7684744916.305541,14221544415.950775,12678912471.755981,,4167781954.2446136,,,106488748549.95728,13515544543.21289,78486276149.13939,13248529756.603241,45071091029.31976,3875183203.125,60635590395.736694,104256683418.35022,10099012718.841553,,,,,,,,,56260120550.16518,5422801529.457092,140089464178.3905
2010-09-14,26160738281.650543,23335933231.7276,79604281395.56885,18645489847.610474,7737833287.841797,14195525115.132332,12620086223.251343,,4142836332.277298,,,106947755507.12585,13509446270.599365,77891148494.96841,13063496772.556305,44690315468.52112,3902773370.361328,60388467635.154724,104532472401.42822,10088294833.80127,,,,,,,,,56278315637.05444,5432200614.0060425,140112443053.2837
2010-09-15,26209251216.030125,23595798507.385254,79303880403.44238,18561026194.892883,7697613672.225952,14188086110.47268,12671994955.459595,,4173538857.4352264,,,107777465969.77234,13539934864.242554,77661259752.78854,13063496772.556305,45155721442.48962,3918868011.474609,60864401385.87952,105342705023.46039,10149699741.30249,,,,,,,,,56788107901.98326,5389897508.102417,140089464178.3905
2010-09-16,26151050650.224686,23691704467.92984,79143722061.76758,18550475787.43744,7655790215.484619,14136046552.419662,12713519433.22754,,4155309143.260956,,,108201155768.28003,13535867964.45465,77782931401.42441,13069212602.100372,45210108944.05364,3883233618.1640625,60965079999.923706,105342705023.46039,10063927597.320557,,,,,,,,,57206889809.0744,5356991680.389404,140020527553.71094
2010-09-17,26500370188.446045,23936109759.544373,78553014331.97021,18487115575.416565,7708874672.485352,14202954555.630684,12516272178.833008,,4171619410.442353,,,108695511549.22485,13491148683.33435,77850585748.7297,13305759558.525085,44919995565.452576,3900474407.9589844,60516611126.13678,105101381879.65393,10011290667.510986,,,,,,,,,57680276378.71743,5325965067.466736,139584214777.1454
2010-09-20,26985540898.38028,24208362524.90616,79994755301.2085,18772185326.68686,7832746234.558105,14188086110.47268,12516272178.833008,,4250294307.657242,,,109613472688.36977,13600918975.090027,78405117476.50146,13488893517.990112,45397486094.09332,3990140130.6152344,61221350309.56268,105894314124.06921,10120461039.138794,,,,,,,,,58426763868.656166,5464168941.741943,141352555920.79163
